Time,Node,Stock,Action,Demand,Delivery,Reward,Backlog
130,B,0.0,0.0,11.0,0.0,-12228.0,True
130,C,1410.0,15.0,11.0,15.0,-12228.0,False
131,A,1466.0,15.0,9.0,15.0,-10135.0,False
131,B,0.0,0.0,9.0,0.0,-10135.0,True
131,C,1418.0,15.0,7.0,15.0,-10135.0,False
132,A,1472.0,15.0,9.0,15.0,-1285.5,False
132,B,0.0,0.0,0.0,0.0,-1285.5,True
132,C,1433.0,15.0,0.0,15.0,-1285.5,False
133,A,1487.0,15.0,0.0,15.0,-10480.5,False
133,B,0.0,0.0,9.0,0.0,-10480.5,True
133,C,1448.0,15.0,0.0,15.0,-10480.5,False
134,A,1502.0,15.0,0.0,15.0,-1495.5,False
134,B,0.0,0.0,0.0,0.0,-1495.5,True
134,C,1463.0,15.0,0.0,15.0,-1495.5,False
135,A,1513.0,15.0,4.0,15.0,-1428.5,False
135,B,0.0,0.0,0.0,0.0,-1428.5,True
135,C,1478.0,15.0,0.0,15.0,-1428.5,False
136,A,1528.0,15.0,0.0,15.0,-1400.5,False
136,B,0.0,0.0,0.0,0.0,-1400.5,True
136,C,1487.0,15.0,6.0,15.0,-1400.5,False
137,A,1543.0,15.0,0.0,15.0,-1433.0,False
137,B,0.0,0.0,0.0,0.0,-1433.0,True
137,C,1497.0,15.0,5.0,15.0,-1433.0,False
138,A,1558.0,15.0,0.0,15.0,-1548.0,False
138,B,0.0,0.0,0.0,0.0,-1548.0,True
138,C,1512.0,15.0,0.0,15.0,-1548.0,False
139,A,1560.0,15.0,13.0,15.0,-1153.0,False
139,B,0.0,0.0,0.0,0.0,-1153.0,True
139,C,1520.0,15.0,7.0,15.0,-1153.0,False
140,A,1563.0,15.0,12.0,15.0,-1322.0,False
140,B,0.0,0.0,0.0,0.0,-1322.0,True
140,C,1535.0,15.0,0.0,15.0,-1322.0,False
141,A,1578.0,15.0,0.0,15.0,-9577.0,False
141,B,0.0,0.0,8.0,0.0,-9577.0,True
141,C,1550.0,15.0,0.0,15.0,-9577.0,False
142,A,1593.0,15.0,0.0,15.0,-5592.0,False
142,B,0.0,0.0,4.0,0.0,-5592.0,True
142,C,1565.0,15.0,0.0,15.0,-5592.0,False
143,A,1602.0,15.0,6.0,15.0,-1258.5,False
143,B,0.0,0.0,0.0,0.0,-1258.5,True
143,C,1569.0,15.0,11.0,15.0,-1258.5,False
144,A,1611.0,15.0,6.0,15.0,-1490.5,False
144,B,0.0,0.0,0.0,0.0,-1490.5,True
144,C,1584.0,15.0,0.0,15.0,-1490.5,False
145,A,1615.0,15.0,11.0,15.0,-1400.0,False
145,B,0.0,0.0,0.0,0.0,-1400.0,True
145,C,1599.0,15.0,0.0,15.0,-1400.0,False
146,A,1630.0,15.0,0.0,15.0,-1635.0,False
146,B,0.0,0.0,0.0,0.0,-1635.0,True
146,C,1614.0,15.0,0.0,15.0,-1635.0,False
147,A,1645.0,15.0,0.0,15.0,-13547.5,False
147,B,0.0,0.0,12.0,0.0,-13547.5,True
147,C,1624.0,15.0,5.0,15.0,-13547.5,False
148,A,1660.0,15.0,0.0,15.0,-9662.5,False
148,B,0.0,0.0,8.0,0.0,-9662.5,True
148,C,1639.0,15.0,0.0,15.0,-9662.5,False
149,A,1664.0,15.0,11.0,15.0,-1452.0,False
149,B,0.0,0.0,0.0,0.0,-1452.0,True
149,C,1654.0,15.0,0.0,15.0,-1452.0,False
150,A,1679.0,15.0,0.0,15.0,-1687.0,False
150,B,0.0,0.0,0.0,0.0,-1687.0,True
150,C,1669.0,15.0,0.0,15.0,-1687.0,False
151,A,1689.0,15.0,5.0,15.0,-1599.5,False
151,B,0.0,0.0,0.0,0.0,-1599.5,True
151,C,1684.0,15.0,0.0,15.0,-1599.5,False
152,A,1693.0,15.0,11.0,15.0,-8325.0,False
152,B,0.0,0.0,7.0,0.0,-8325.0,True
152,C,1691.0,15.0,8.0,15.0,-8325.0,False
153,A,1708.0,15.0,0.0,15.0,-10720.0,False
153,B,0.0,0.0,9.0,0.0,-10720.0,True
153,C,1706.0,15.0,0.0,15.0,-10720.0,False
154,A,1711.0,15.0,12.0,15.0,-1284.0,False
154,B,0.0,0.0,0.0,0.0,-1284.0,True
154,C,1711.0,15.0,10.0,15.0,-1284.0,False
155,A,1717.0,15.0,9.0,15.0,-9554.5,False
155,B,0.0,0.0,8.0,0.0,-9554.5,True
155,C,1726.0,15.0,0.0,15.0,-9554.5,False
156,A,1732.0,15.0,0.0,15.0,-1667.5,False
156,B,0.0,0.0,0.0,0.0,-1667.5,True
156,C,1737.0,15.0,4.0,15.0,-1667.5,False
157,A,1741.0,15.0,6.0,15.0,-1639.5,False
157,B,0.0,0.0,0.0,0.0,-1639.5,True
157,C,1752.0,15.0,0.0,15.0,-1639.5,False
158,A,1756.0,15.0,0.0,15.0,-1774.5,False
158,B,0.0,0.0,0.0,0.0,-1774.5,True
158,C,1767.0,15.0,0.0,15.0,-1774.5,False
159,A,1771.0,15.0,0.0,15.0,-1789.5,False
159,B,0.0,0.0,0.0,0.0,-1789.5,True
159,C,1782.0,15.0,0.0,15.0,-1789.5,False
160,A,1786.0,15.0,0.0,15.0,-7804.5,False
160,B,0.0,0.0,6.0,0.0,-7804.5,True
160,C,1797.0,15.0,0.0,15.0,-7804.5,False
161,A,1790.0,15.0,11.0,15.0,-1409.5,False
161,B,0.0,0.0,0.0,0.0,-1409.5,True
161,C,1803.0,15.0,9.0,15.0,-1409.5,False
162,A,1805.0,15.0,0.0,15.0,-12824.5,False
162,B,0.0,0.0,11.0,0.0,-12824.5,True
162,C,1818.0,15.0,0.0,15.0,-12824.5,False
163,A,1808.0,15.0,12.0,15.0,-10388.5,False
163,B,0.0,0.0,9.0,0.0,-10388.5,True
163,C,1823.0,15.0,10.0,15.0,-10388.5,False
164,A,1823.0,15.0,0.0,15.0,-1577.0,False
164,B,0.0,0.0,0.0,0.0,-1577.0,True
164,C,1825.0,15.0,13.0,15.0,-1577.0,False
165,A,1829.0,15.0,9.0,15.0,-1667.5,False
165,B,0.0,0.0,0.0,0.0,-1667.5,True
165,C,1840.0,15.0,0.0,15.0,-1667.5,False
166,A,1835.0,15.0,9.0,15.0,-1678.0,False
